gene,mutated_samples,dcb_mutated,dcb_wildtype,no_dcb_mutated,no_dcb_wildtype,dcb_mutation_fraction,no_dcb_mutation_fraction,odds_ratio_dcb,p_value,flag_gene,biology_panel,frequency_tier,q_value
KRT76,8,6,23,2,74,0.20689655172413793,0.02631578947368421,9.652173913043478,0.005296336111542132,False,,primary_screen,0.8124185882767119
SERPINB3,8,6,23,2,74,0.20689655172413793,0.02631578947368421,9.652173913043478,0.005296336111542132,False,,primary_screen,0.8124185882767119
ARSJ,6,5,24,1,75,0.1724137931034483,0.013157894736842105,15.625,0.005903274507919096,False,,primary_screen,0.8124185882767119
BRIP1,6,5,24,1,75,0.1724137931034483,0.013157894736842105,15.625,0.005903274507919096,False,,primary_screen,0.8124185882767119
NOP9,6,5,24,1,75,0.1724137931034483,0.013157894736842105,15.625,0.005903274507919096,False,,primary_screen,0.8124185882767119
TRPC5,6,5,24,1,75,0.1724137931034483,0.013157894736842105,15.625,0.005903274507919096,False,,primary_screen,0.8124185882767119
TSPOAP1,6,5,24,1,75,0.1724137931034483,0.013157894736842105,15.625,0.005903274507919096,False,,primary_screen,0.8124185882767119
WDR70,6,5,24,1,75,0.1724137931034483,0.013157894736842105,15.625,0.005903274507919096,False,,primary_screen,0.8124185882767119
ZBTB4,6,5,24,1,75,0.1724137931034483,0.013157894736842105,15.625,0.005903274507919096,False,,primary_screen,0.8124185882767119
NOTCH4,13,8,21,5,71,0.27586206896551724,0.06578947368421052,5.40952380952381,0.006708073341621338,False,,primary_screen,0.8124185882767119
CRYBG1,11,7,22,4,72,0.2413793103448276,0.05263157894736842,5.7272727272727275,0.009369129862270837,False,,primary_screen,0.8124185882767119
SYNE2,11,7,22,4,72,0.2413793103448276,0.05263157894736842,5.7272727272727275,0.009369129862270837,True,,primary_screen,0.8124185882767119
CNTN5,9,6,23,3,73,0.20689655172413793,0.039473684210526314,6.3478260869565215,0.012704738805463002,False,,primary_screen,0.8124185882767119
DSG2,9,6,23,3,73,0.20689655172413793,0.039473684210526314,6.3478260869565215,0.012704738805463002,False,,primary_screen,0.8124185882767119
LAMB3,9,6,23,3,73,0.20689655172413793,0.039473684210526314,6.3478260869565215,0.012704738805463002,False,,primary_screen,0.8124185882767119
LRBA,9,6,23,3,73,0.20689655172413793,0.039473684210526314,6.3478260869565215,0.012704738805463002,False,,primary_screen,0.8124185882767119
MAP2K1,9,6,23,3,73,0.20689655172413793,0.039473684210526314,6.3478260869565215,0.012704738805463002,False,Melanoma drivers,primary_screen,0.8124185882767119
MCF2,9,6,23,3,73,0.20689655172413793,0.039473684210526314,6.3478260869565215,0.012704738805463002,False,,primary_screen,0.8124185882767119
SEZ6L,9,6,23,3,73,0.20689655172413793,0.039473684210526314,6.3478260869565215,0.012704738805463002,False,,primary_screen,0.8124185882767119
USP34,9,6,23,3,73,0.20689655172413793,0.039473684210526314,6.3478260869565215,0.012704738805463002,False,,primary_screen,0.8124185882767119
WDR72,9,6,23,3,73,0.20689655172413793,0.039473684210526314,6.3478260869565215,0.012704738805463002,False,,primary_screen,0.8124185882767119
ARID1B,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
DEPDC1,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
DMXL2,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
FANCM,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
HDLBP,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
KNDC1,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
MST1,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
MYH7,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
NHS,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
PPP4R4,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
TDRKH,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
TMPRSS13,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
ZNF195,7,5,24,2,74,0.1724137931034483,0.02631578947368421,7.708333333333333,0.016524696444515954,False,,primary_screen,0.8124185882767119
ABCA4,12,7,22,5,71,0.2413793103448276,0.06578947368421052,4.5181818181818185,0.017987775608255024,False,,primary_screen,0.8124185882767119
HERC2,12,7,22,5,71,0.2413793103448276,0.06578947368421052,4.5181818181818185,0.017987775608255024,False,,primary_screen,0.8124185882767119
NLRP10,12,7,22,5,71,0.2413793103448276,0.06578947368421052,4.5181818181818185,0.017987775608255024,False,,primary_screen,0.8124185882767119
